Order,Design No,Design,Curve01,Curve02,Curve03,Curve04,Curve05,Curve06,Curve07,Curve08,Curve09,Curve10,File01,File02,File03,File04,File05,File06,File07,File08,File09,File10
1,A0126  ,APPLICATOR                    ,Missing, , , , , , , , , ,Missing, , , , , , , , , ,
136,C6131  ,MANSFIELD                     ,NC, , , , , , , , , ,Missing, , , , , , , , , ,
137,A0877  ,IRISH LINEN II                ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
138,16708  ,NIMBO                         ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
139,16711  ,SUPER CAMO                    ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
140,16712  ,HORIZONTAL HAZE               ,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
141,16714  ,SUPERCELL                     ,EQ1,EQ1,EQ1,EQ1, , , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , , ,
142,13213  ,PERIN II                      ,AVA8, , , , , , , , , ,AVA8.txt, , , , , , , , , ,
143,A6543  ,HOT DOT                       ,FAS15,FAS15, , , , , , , , ,Fashion15.txt,Fashion15.txt, , , , , , , , ,
144,C1818  ,SEA SPOT NEGATIVE II          ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
145,C1819  ,SEA SPOT POSITIVE II          ,EQ1, , , , , , , , , ,eQ1.txt, , , , , , , , , ,
146,15280  ,ANTON                         ,EQ1,EQ1,EQ1,EQ1,EQ1, , , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , , ,
147,15309  ,CANASTA                       ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
148,16611  ,FENCED IN BORDER              ,EQ1,EQ1,EQ1,EQ1,EQ1,EQ1, , , , ,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt,eQ1.txt, , , , ,
149,8921,DOVEE STRIPE,CSS13,CSS13, , , , , , , , ,CSS13.txt,CSS13.txt, , , , , , , , ,
150,X9293  ,BILLANGIE                     ,CSS13,CSS13,CSS13,CSS13,CSS13,CSS13, , , , ,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt,CSS13.txt, , , , ,
151,9624,CHAFFEE,FAS15,FAS15, , , , , , , , ,Fashion15.txt,Fashion15.txt, , , , , , , , ,
